N,E,k,calls
4,4,4,8
9,18,4,54
16,48,4,448
25,100,4,1750
36,180,4,4968
49,294,4,11662
64,448,4,24064
81,648,4,45198
100,900,4,79000
121,1210,4,130438
144,1584,4,205632
169,2028,4,311974
196,2548,4,458248
225,3150,4,654750
256,3840,4,913408
289,4624,4,1247902
324,5508,4,1673784
361,6498,4,2208598
400,7600,4,2872000
441,8820,4,3685878
484,10164,4,4674472
529,11638,4,5864494
576,13248,4,7285248
625,15000,4,8968750
676,16900,4,10949848
729,18954,4,13266342
784,21168,4,15959104
841,23548,4,19072198
900,26100,4,22653000
961,28830,4,26752318
64,448,2,512
64,448,3,3584
64,448,4,24064
64,448,5,155136
64,448,6,941568
144,1584,2,1728
144,1584,3,19008
144,1584,4,205632
144,1584,5,2196288
144,1584,6,23098176
256,3840,2,4096
256,3840,3,61440
256,3840,4,913408
256,3840,5,13496320
256,3840,6,198045696
400,7600,2,8000
400,7600,3,152000
400,7600,4,2872000
400,7600,5,54072000
64,63,3,189
64,124,3,428
64,240,3,1200
64,448,3,3584
64,768,3,9024
64,1024,3,1088
